日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,000001,7.47,7.29,7.5,7.29,1158366,1075742252.45,2.81,-2.41,-0.18,0.6
2024-01-03,000001,7.27,7.28,7.3,7.23,733610,673673613.54,0.96,-0.14,-0.01,0.38
2024-01-04,000001,7.27,7.19,7.27,7.16,864194,787470082.37,1.51,-1.24,-0.09,0.45
2024-01-05,000001,7.18,7.35,7.52,7.15,1991622,1852659692.14,5.15,2.23,0.16,1.03
2024-01-08,000001,7.31,7.23,7.38,7.19,1121156,1029006548.73,2.59,-1.63,-0.12,0.58
2024-01-09,000001,7.24,7.26,7.27,7.17,766194,700375720.2,1.38,0.41,0.03,0.39
2024-01-10,000001,7.24,7.17,7.27,7.17,858621,783771150.01,1.38,-1.24,-0.09,0.44
2024-01-11,000001,7.16,7.25,7.3,7.11,934686,853890237.29,2.65,1.12,0.08,0.48
2024-01-12,000001,7.21,7.27,7.35,7.19,772582,711018266.07,2.21,0.28,0.02,0.4
2024-01-15,000001,7.24,7.29,7.37,7.21,745133,685950951.45,2.2,0.28,0.02,0.38
2024-01-16,000001,7.27,7.42,7.43,7.24,1438313,1334465408.53,2.61,1.78,0.13,0.74
2024-01-17,000001,7.41,7.31,7.47,7.31,1482296,1380725065.03,2.16,-1.48,-0.11,0.76
2024-01-18,000001,7.29,7.28,7.32,7.08,1755132,1597853726.63,3.28,-0.41,-0.03,0.9
2024-01-19,000001,7.24,7.25,7.28,7.18,963981,881865023.89,1.37,-0.41,-0.03,0.5
2024-01-22,000001,7.24,7.18,7.34,7.12,1580320,1449858241.68,3.03,-0.97,-0.07,0.81
2024-01-23,000001,7.13,7.24,7.26,7.04,1135545,1030898421.04,3.06,0.84,0.06,0.59
2024-01-24,000001,7.31,7.41,7.42,7.15,1759123,1620099272.06,3.73,2.35,0.17,0.91
2024-01-25,000001,7.41,7.58,7.62,7.35,2162514,2037648413.07,3.64,2.29,0.17,1.11
2024-01-26,000001,7.55,7.7,7.75,7.52,2272287,2172799799.01,3.03,1.58,0.12,1.17
2024-01-29,000001,7.77,7.78,7.96,7.66,2376252,2312173346.33,3.9,1.04,0.08,1.22
2024-01-30,000001,7.69,7.58,7.78,7.57,1579122,1515156603.96,2.7,-2.57,-0.2,0.81
2024-01-31,000001,7.54,7.54,7.64,7.46,1357217,1286857396.81,2.37,-0.53,-0.04,0.7
2024-02-01,000001,7.49,7.49,7.56,7.42,1055260,993481907.01,1.86,-0.66,-0.05,0.54
2024-02-02,000001,7.5,7.35,7.55,7.15,1634214,1520605694.69,5.34,-1.87,-0.14,0.84
2024-02-05,000001,7.27,7.46,7.51,7.19,1803592,1674566499.46,4.35,1.5,0.11,0.93
2024-02-06,000001,7.38,7.76,7.76,7.37,1995410,1900324218.2,5.23,4.02,0.3,1.03
2024-02-07,000001,7.7,7.69,7.75,7.56,2062015,1975435102.12,2.45,-0.9,-0.07,1.06
2024-02-08,000001,7.66,7.75,7.75,7.6,1656814,1593505690.13,1.95,0.78,0.06,0.85
2024-02-19,000001,7.84,7.89,7.89,7.73,1605243,1564088444.93,2.06,1.81,0.14,0.83
