日期,prevclose,开盘,最高,最低,收盘,成交量,成交额
2024-01-02,,2.356,2.356,2.326,2.327,787310141,1838299287
2024-01-03,,2.324,2.336,2.32,2.332,627676145,1461195301
2024-01-04,,2.331,2.332,2.295,2.314,906163641,2093817070
2024-01-05,,2.308,2.332,2.29,2.303,1019415882,2356530474
2024-01-08,,2.3,2.309,2.274,2.278,888765005,2030449583
2024-01-09,,2.281,2.286,2.269,2.28,853922969,1945903904
2024-01-10,,2.275,2.293,2.266,2.27,800237537,1821165952
2024-01-11,,2.269,2.287,2.261,2.275,751873354,1709975191
2024-01-12,,2.268,2.287,2.264,2.272,593806006,1351633457
2024-01-15,,2.263,2.293,2.26,2.272,566587522,1288485025
2024-01-16,,2.268,2.285,2.257,2.284,1136526820,2581364386
2024-01-17,,2.275,2.277,2.232,2.234,1272251876,2867308876
2024-01-18,,2.225,2.278,2.196,2.274,4825657188,10801614249
2024-01-19,,2.259,2.287,2.25,2.282,3784481259,8604240707
2024-01-22,,2.274,2.292,2.238,2.261,2873150176,6539373939
2024-01-23,,2.255,2.274,2.236,2.258,1430700006,3226612717
2024-01-24,,2.269,2.3,2.244,2.295,1629979256,3704587204
2024-01-25,,2.296,2.352,2.291,2.347,1545790266,3594294797
2024-01-26,,2.34,2.359,2.332,2.35,2431087444,5710766401
2024-01-29,,2.35,2.363,2.339,2.342,1163352306,2734417310
2024-01-30,,2.33,2.338,2.304,2.306,1278177869,2966181024
2024-01-31,,2.298,2.309,2.276,2.292,1949449232,4477275386
2024-02-01,,2.281,2.305,2.273,2.283,2015125432,4613678834
2024-02-02,,2.284,2.299,2.213,2.268,2109162682,4791054424
2024-02-05,,2.253,2.303,2.234,2.289,1635986271,3717343796
2024-02-06,,2.281,2.359,2.279,2.351,2385726511,5559702141
2024-02-07,,2.355,2.381,2.338,2.38,2999487701,7075158357
2024-02-08,,2.389,2.395,2.366,2.385,3290382863,7825611542
2024-02-19,,2.398,2.404,2.382,2.403,1749353089,4186607629
2024-02-20,,2.399,2.406,2.387,2.402,988164874,2369139817
2024-02-21,,2.395,2.475,2.391,2.444,1957688618,4775414859
2024-02-22,,2.44,2.469,2.438,2.466,873550215,2145403464
2024-02-23,,2.466,2.483,2.459,2.467,1061144807,2619541868
2024-02-26,,2.464,2.465,2.421,2.426,1902510775,4640194462
2024-02-27,,2.418,2.439,2.416,2.438,1248810042,3029288516
2024-02-28,,2.438,2.454,2.422,2.424,1792847993,4368541732
2024-02-29,,2.417,2.448,2.417,2.444,1286103554,3131930462
2024-03-01,,2.44,2.456,2.431,2.448,1191423872,2912366449
2024-03-04,,2.444,2.458,2.438,2.451,1273564556,3118727719
2024-03-05,,2.442,2.487,2.439,2.481,2432653629,6003144952
2024-03-06,,2.478,2.485,2.467,2.468,1500129104,3712948524
2024-03-07,,2.466,2.481,2.451,2.46,968197064,2386691729
2024-03-08,,2.46,2.469,2.443,2.46,813179591,1997938711
2024-03-11,,2.46,2.48,2.451,2.479,1037741034,2558986707
2024-03-12,,2.479,2.494,2.472,2.485,1606725938,3990464004
2024-03-13,,2.481,2.482,2.453,2.465,1013191973,2495595260
2024-03-14,,2.464,2.481,2.449,2.459,852648080,2101941459
2024-03-15,,2.451,2.466,2.442,2.461,1023426023,2509045972
2024-03-18,,2.459,2.475,2.454,2.471,895925379,2207872991
2024-03-19,,2.466,2.476,2.449,2.454,993209300,2442316117
2024-03-20,,2.447,2.467,2.442,2.46,808470821,1986075707
2024-03-21,,2.465,2.477,2.459,2.46,608478466,1501322389
2024-03-22,,2.455,2.457,2.42,2.438,1466630917,3569943425
2024-03-25,,2.433,2.453,2.428,2.437,706030136,1723222112
2024-03-26,,2.439,2.45,2.433,2.446,727926049,1777001087
2024-03-27,,2.441,2.456,2.432,2.433,844524757,2062872250
2024-03-28,,2.431,2.459,2.42,2.438,1168146185,2848278618
2024-03-29,,2.435,2.453,2.434,2.449,634334702,1550757553
2024-04-01,,2.455,2.485,2.455,2.475,964542321,2387593224
2024-04-02,,2.476,2.481,2.463,2.471,663053245,1638175015
2024-04-03,,2.472,2.474,2.457,2.463,596610701,1470757959
2024-04-08,,2.456,2.465,2.44,2.45,945289759,2318565441
2024-04-09,,2.449,2.453,2.433,2.437,662190812,1615618068
2024-04-10,,2.439,2.445,2.421,2.431,847010591,2061198197
2024-04-11,,2.423,2.437,2.412,2.429,650197154,1577499388
2024-04-12,,2.428,2.434,2.401,2.408,755534934,1825001902
2024-04-15,,2.406,2.46,2.405,2.458,1448822976,3542177674
2024-04-16,,2.453,2.464,2.43,2.448,1073800094,2631564003
2024-04-17,,2.444,2.475,2.431,2.473,1002160007,2458853411
2024-04-18,,2.466,2.504,2.464,2.48,1174795146,2919442062
2024-04-19,,2.47,2.48,2.457,2.464,841950347,2077412676
2024-04-22,,2.465,2.486,2.456,2.46,809244501,1999412924
2024-04-23,,2.457,2.462,2.445,2.447,546199301,1338976271
2024-04-24,,2.454,2.462,2.44,2.457,667920561,1637772280
2024-04-25,,2.453,2.472,2.445,2.466,546700405,1344262738
2024-04-26,,2.468,2.504,2.468,2.496,1025253325,2552948611
