日期,prevclose,开盘,最高,最低,收盘,成交量,成交额
2026-01-05,,3.183,3.193,3.17,3.18,160709824,510847599
2026-01-06,,3.18,3.219,3.172,3.218,212208423,677876074
2026-01-07,,3.218,3.232,3.202,3.232,145318753,467902780
2026-01-08,,3.23,3.231,3.213,3.221,109021090,351116569
2026-01-09,,3.221,3.235,3.216,3.234,121750149,392760656
2026-01-12,,3.233,3.237,3.214,3.231,142405448,459145758
2026-01-13,,3.228,3.245,3.224,3.229,141142025,456857959
2026-01-14,,3.228,3.236,3.197,3.199,194456918,625541707
2026-01-15,,3.199,3.209,3.183,3.188,153320022,490206980
2026-01-16,,3.189,3.2,3.155,3.163,254663722,808039637
2026-01-19,,3.163,3.18,3.154,3.179,169245729,536333533
2026-01-20,,3.18,3.218,3.175,3.217,194369138,621283721
2026-01-21,,3.078,3.079,3.052,3.057,301877800,923943262
2026-01-22,,3.059,3.08,3.055,3.077,155801800,478674278
2026-01-23,,3.081,3.082,3.059,3.069,161176568,494701122
2026-01-26,,3.069,3.109,3.064,3.106,211831264,654976910
2026-01-27,,3.106,3.113,3.075,3.081,260210876,804341780
2026-01-28,,3.082,3.148,3.072,3.132,329895023,1028739544
2026-01-29,,3.134,3.168,3.12,3.166,225603099,709880740
2026-01-30,,3.165,3.196,3.124,3.144,264593377,834801090
2026-02-02,,3.137,3.138,3.042,3.046,401047605,1235729327
2026-02-03,,3.049,3.064,3.028,3.051,237958217,724610538
2026-02-04,,3.056,3.153,3.056,3.15,437466557,1363521066
2026-02-05,,3.132,3.143,3.112,3.136,149211527,466573398
2026-02-06,,3.11,3.141,3.1,3.126,151344403,472796203
2026-02-09,,3.126,3.146,3.125,3.144,93180979,292349656
2026-02-10,,3.144,3.16,3.132,3.156,118853689,374162405
2026-02-11,,3.153,3.192,3.143,3.183,224707518,713970108
2026-02-12,,3.185,3.198,3.169,3.18,142012267,452049042
2026-02-13,,3.17,3.175,3.134,3.137,148983293,469202890
2026-02-24,,3.152,3.196,3.152,3.19,217299547,691885851
2026-02-25,,3.19,3.237,3.187,3.194,363803227,1167864053
2026-02-26,,3.197,3.211,3.178,3.195,120777051,385766967
2026-02-27,,3.193,3.237,3.19,3.232,206367498,665145099
2026-03-02,,3.275,3.306,3.235,3.303,325190372,1065672481
2026-03-03,,3.306,3.404,3.296,3.367,374115273,1253251550
2026-03-04,,3.341,3.341,3.251,3.304,168292053,553439482
2026-03-05,,3.283,3.312,3.255,3.291,138530487,454326194
2026-03-06,,3.282,3.29,3.253,3.285,122717861,401360823
2026-03-09,,3.347,3.373,3.308,3.309,202199892,675842638
2026-03-10,,3.256,3.283,3.24,3.27,129612243,423148675
2026-03-11,,3.263,3.317,3.24,3.313,134046487,439613998
2026-03-12,,3.325,3.392,3.313,3.381,207427219,698295169
2026-03-13,,3.38,3.408,3.358,3.364,204236448,690999168
2026-03-16,,3.365,3.381,3.33,3.335,113578600,379859829
2026-03-17,,3.325,3.349,3.308,3.309,112049787,372500010
2026-03-18,,3.308,3.319,3.261,3.296,118516785,389647686
2026-03-19,,3.306,3.329,3.296,3.305,134593615,445624309
2026-03-20,,3.275,3.329,3.273,3.296,107415600,355018429
2026-03-23,,3.305,3.306,3.226,3.234,202280443,660155165
2026-03-24,,3.23,3.27,3.227,3.269,139870305,455037626
2026-03-25,,3.25,3.257,3.21,3.256,157561500,509345306
2026-03-26,,3.251,3.288,3.248,3.268,114829500,375558985
2026-03-27,,3.267,3.283,3.243,3.267,88778799,289198915
2026-03-30,,3.262,3.304,3.262,3.299,108153999,355809927
2026-03-31,,3.293,3.314,3.248,3.251,159039900,519957179
2026-04-01,,3.248,3.269,3.236,3.241,132234201,429458774
2026-04-02,,3.24,3.27,3.238,3.258,100208745,326342217
2026-04-03,,3.256,3.259,3.204,3.216,152336599,490888645
2026-04-07,,3.217,3.232,3.196,3.228,102118372,328441978
2026-04-08,,3.21,3.228,3.186,3.227,171453300,549273612
2026-04-09,,3.222,3.232,3.202,3.212,79258200,254702266
2026-04-10,,3.211,3.231,3.205,3.218,83960572,270381505
2026-04-13,,3.225,3.233,3.202,3.223,113707200,365930898
2026-04-14,,3.216,3.224,3.205,3.223,99129016,318664154
2026-04-15,,3.221,3.242,3.206,3.24,115504450,372895343
2026-04-16,,3.23,3.251,3.23,3.244,94220260,305409124
2026-04-17,,3.24,3.244,3.216,3.218,106833300,344442966
2026-04-20,,3.219,3.235,3.212,3.225,89628031,288666367
2026-04-21,,3.224,3.273,3.222,3.265,218600872,712181256
2026-04-22,,3.268,3.281,3.259,3.269,112700900,368498363
2026-04-23,,3.269,3.294,3.253,3.293,121308325,397569032
2026-04-24,,3.277,3.292,3.266,3.28,146004600,478523898
2026-04-27,,3.27,3.293,3.264,3.275,100852200,330541990
2026-04-28,,3.27,3.326,3.265,3.325,165336452,545846331
2026-04-29,,3.315,3.36,3.313,3.347,139571871,466652880
2026-04-30,,3.34,3.357,3.324,3.341,143435124,478767666
2026-05-06,,3.335,3.342,3.3,3.341,145180000,481710572
2026-05-07,,3.327,3.327,3.268,3.272,293781100,964538060
2026-05-08,,3.273,3.292,3.25,3.261,159384137,519812739
2026-05-11,,3.261,3.276,3.253,3.263,146354012,477609074
2026-05-12,,3.26,3.284,3.255,3.257,117147994,382461892
2026-05-13,,3.258,3.271,3.23,3.244,122094995,396171454
2026-05-14,,3.244,3.246,3.222,3.223,102244144,330506928
2026-05-15,,3.224,3.244,3.21,3.223,160566378,517776590
2026-05-18,,3.22,3.234,3.2,3.217,188532470,605137252
2026-05-19,,3.217,3.228,3.208,3.222,96124900,309449822
2026-05-20,,3.222,3.23,3.208,3.215,135717273,436881640
2026-05-21,,3.205,3.215,3.167,3.172,230279100,734993648
2026-05-22,,3.173,3.175,3.138,3.156,168086350,530077819
2026-05-25,,3.178,3.219,3.178,3.185,197291430,630135948
2026-05-26,,3.178,3.192,3.163,3.186,124157400,394360503
2026-05-27,,3.18,3.183,3.143,3.17,178428700,563920657
2026-05-28,,3.163,3.193,3.157,3.17,144437000,459099902
2026-05-29,,3.165,3.212,3.162,3.206,213209600,681631366
2026-06-01,,3.212,3.315,3.206,3.307,399834249,1309404277
2026-06-02,,3.307,3.365,3.294,3.308,325440124,1082836907
2026-06-03,,3.29,3.339,3.264,3.324,218034938,718390296
2026-06-04,,3.318,3.354,3.292,3.327,169110500,562193731
2026-06-05,,3.314,3.355,3.311,3.321,223490701,745405168
2026-06-08,,3.309,3.338,3.278,3.304,174442677,576629250
2026-06-09,,3.28,3.3,3.266,3.291,118373095,388507413
2026-06-10,,3.274,3.286,3.251,3.261,122751960,400792866
2026-06-11,,3.268,3.283,3.248,3.26,90954372,296504768
2026-06-12,,3.246,3.309,3.238,3.303,135811601,445662306
2026-06-15,,3.291,3.295,3.239,3.249,216552422,704890629
2026-06-16,,3.239,3.239,3.19,3.196,289523803,928062649
2026-06-17,,3.198,3.198,3.15,3.16,276788122,876401837
2026-06-18,,3.16,3.161,3.091,3.098,430948916,1341694581
