code,date,action,shares,price,cash_after,holding_after,reason
512070,2024-04-01,BUY_HALF,85400,0.585,50026.01,85400,低位MACD且上穿MA5
512070,2024-04-02,SELL_ALL,85400,0.581,99628.53,0,跌破MA17清仓
512070,2024-04-17,BUY_HALF,89400,0.557,49817.79,89400,低位MACD且上穿MA5
512070,2024-04-18,SELL_ALL,89400,0.566,100403.01,0,跌破MA17清仓
512070,2024-06-14,BUY_HALF,85700,0.585,50253.47,85700,低位MACD且上穿MA5
512070,2024-06-17,SELL_ALL,85700,0.582,100115.9,0,跌破MA17清仓
512070,2024-07-10,BUY_HALF,90100,0.555,50095.4,90100,低位MACD且上穿MA5
512070,2024-07-11,SELL_ALL,90100,0.558,100356.12,0,跌破MA17清仓
512070,2024-08-15,BUY_HALF,86700,0.578,50228.49,86700,低位MACD且上穿MA5
512070,2024-08-16,BUY_FULL,86800,0.578,43.04,173500,次日仍站上MA5
512070,2024-08-20,SELL_ALL,173500,0.577,100122.5,0,跌破MA17清仓
512070,2025-01-14,BUY_HALF,65600,0.762,50120.31,65600,低位MACD且上穿MA5
512070,2025-01-15,SELL_ALL,65600,0.757,99764.61,0,跌破MA17清仓
512070,2025-01-23,BUY_HALF,64800,0.769,49918.46,64800,低位MACD且上穿MA5
512070,2025-01-24,BUY_FULL,64200,0.777,20.09,129000,次日仍站上MA5
512070,2025-02-05,SELL_ALL,129000,0.758,97772.76,0,跌破MA17清仓
512070,2025-02-07,BUY_HALF,62500,0.781,48945.62,62500,低位MACD且上穿MA5
512070,2025-02-10,BUY_FULL,62700,0.78,24.94,125200,次日仍站上MA5
512070,2025-02-18,SELL_ALL,125200,0.771,96525.19,0,跌破MA17清仓
512070,2025-02-21,BUY_HALF,61300,0.786,48328.93,61300,低位MACD且上穿MA5
512070,2025-02-24,BUY_FULL,61300,0.787,71.36,122600,次日仍站上MA5
512070,2025-02-25,SELL_ALL,122600,0.774,94935.29,0,跌破MA17清仓
512070,2025-03-06,BUY_HALF,60300,0.786,47525.27,60300,低位MACD且上穿MA5
512070,2025-03-07,SELL_ALL,60300,0.777,94364.32,0,跌破MA17清仓
512070,2025-04-10,BUY_HALF,64900,0.726,47232.78,64900,低位MACD且上穿MA5
512070,2025-04-11,SELL_ALL,64900,0.726,94336.05,0,跌破MA17清仓
