code,variant,profile,total_return,max_drawdown,risk_score,trade_count,end_equity
588080,original,original,154.16%,-18.23%,8.456,82.0,254159.91
159915,trend,trend,47.68%,-6.01%,7.933,5.0,147684.14
588000,original,original,131.04%,-19.03%,6.886,83.0,231039.29
512480,original,original,88.92%,-13.88%,6.406,69.0,188917.29
512660,original,original,95.31%,-15.10%,6.312,88.0,195314.28
512880,trend,trend,35.91%,-10.76%,3.337,6.0,135906.43
515050,original,original,52.93%,-16.09%,3.29,65.0,152927.85
159949,original,original,81.18%,-25.35%,3.202,69.0,181177.92
510500,original,original,32.94%,-10.60%,3.108,77.0,132943.11
515700,original,original,43.23%,-18.77%,2.303,88.0,143229.73
512600,trend,trend,8.21%,-4.42%,1.857,11.0,108212.73
512100,original,original,23.11%,-13.77%,1.678,66.0,123108.7
510880,original,original,8.71%,-6.04%,1.442,79.0,108711.58
159928,trend,trend,7.08%,-5.20%,1.362,11.0,107081.25
515790,original,original,24.85%,-21.60%,1.15,100.0,124849.2
512070,trend,trend,5.66%,-5.30%,1.068,11.0,105663.32
510300,original,original,8.83%,-10.12%,0.873,82.0,108830.94
510050,original,original,4.34%,-9.04%,0.48,96.0,104343.59
512170,original,original,7.36%,-16.28%,0.452,96.0,107362.03
515180,original,original,0.84%,-9.11%,0.092,83.0,100841.3
512010,original,original,1.92%,-21.38%,0.09,110.0,101922.53
512690,trend,trend,-0.86%,-1.46%,-999.0,3.0,99139.26
512800,trend_exit2,trend_exit2,-39.52%,-50.14%,-999.0,18.0,60480.79
516160,trend,trend,-5.07%,-12.02%,-999.0,11.0,94932.94
