code,name,category,selected_variant,train_return,return_2025,drawdown_2025,test_trades,test_end_equity,return_2026,drawdown_2026,avg_return_25_26
159819,人工智能ETF易方达,科技,original,27.31%,43.53%,-12.21%,20,143527.11,25.16%,-5.07%,34.34
159915,创业板ETF,宽基,original,36.08%,50.76%,-6.01%,17,150757.61,11.39%,-6.68%,31.08
512400,有色金属ETF南方,有色金属,original,27.24%,47.85%,-6.41%,10,147848.45,5.09%,-3.94%,26.47
515880,通信ETF国泰,通信,original,21.16%,16.76%,-7.62%,15,116759.42,33.91%,-8.67%,25.34
588080,科创板50ETF,宽基,original,39.19%,21.60%,-12.56%,24,121603.89,27.76%,-7.51%,24.68
588000,科创50ETF,宽基,original,41.74%,9.27%,-12.32%,27,109270.64,27.46%,-7.73%,18.37
588200,科创芯片ETF嘉实,科技,original,37.32%,-0.24%,-4.84%,22,99760.68,31.77%,-13.70%,15.76
512480,半导体ETF,科技,original,37.85%,0.01%,-5.82%,23,100013.93,29.52%,-12.88%,14.76
159995,芯片ETF华夏,科技,original,46.77%,-1.98%,-15.41%,30,98024.0,31.37%,-13.58%,14.7
512660,军工ETF,军工,original,39.02%,21.21%,-13.18%,39,121210.58,6.90%,-4.86%,14.06
515070,人工智能ETF华夏,科技,original,27.33%,1.86%,-5.45%,15,101861.36,25.19%,-5.20%,13.52
159949,创业板50ETF,宽基,original,42.03%,9.81%,-9.13%,18,109806.02,13.13%,-7.67%,11.47
510500,中证500ETF,宽基,original,2.72%,12.93%,-10.62%,27,112932.42,9.88%,-5.62%,11.4
159530,机器人ETF易方达,机器人,original,21.60%,5.80%,-11.15%,30,105795.38,13.97%,-6.38%,9.88
515700,新能车ETF,新能源,original,12.69%,6.90%,-9.09%,24,106896.9,11.45%,-7.59%,9.18
510880,红利ETF,红利,original,5.56%,4.10%,-5.78%,38,104097.03,3.95%,-3.34%,4.03
510050,上证50ETF,宽基,original,2.49%,7.48%,-4.61%,39,107483.74,-0.83%,-3.33%,3.32
512100,中证1000ETF,宽基,original,1.78%,-2.20%,-6.56%,19,97803.91,8.84%,-6.56%,3.32
510300,沪深300ETF,宽基,original,6.39%,1.47%,-6.38%,25,101471.09,1.70%,-4.52%,1.58
512880,证券ETF,金融,trend_exit2,48.39%,-2.92%,-3.05%,3,97077.1,0.00%,0.00%,-1.46
