code,name,category,selected_variant,return_2025,drawdown_2025,trades_2025,return_2026,drawdown_2026,trades_2026,avg_return_25_26
159819,人工智能ETF易方达,科技,original,38.36%,-12.51%,28,23.86%,-5.06%,15,31.11
159915,创业板ETF,宽基,original,47.54%,-7.42%,18,11.39%,-6.68%,21,29.46
588200,科创芯片ETF嘉实,科技,original,25.68%,-15.50%,29,31.77%,-13.70%,13,28.72
515880,通信ETF国泰,通信,original,17.29%,-7.60%,20,33.91%,-8.67%,19,25.6
512400,有色金属ETF南方,有色金属,original,37.61%,-12.10%,16,5.09%,-3.94%,11,21.35
588080,科创板50ETF,宽基,original,14.47%,-13.69%,31,26.59%,-7.52%,16,20.53
512660,军工ETF,军工,original,19.91%,-12.30%,38,3.33%,-9.44%,22,11.62
159530,机器人ETF易方达,机器人,original,5.90%,-11.05%,32,13.68%,-6.38%,13,9.79
510500,中证500ETF,宽基,cash,0.00%,0.00%,0,0.00%,0.00%,0,0.0
515700,新能车ETF,新能源,trend_exit2,-6.81%,-10.01%,3,0.00%,0.00%,0,-3.4
