fast,slow,signal,avg_return,median_return,win_rate,avg_drawdown,worst_drawdown,avg_trades,score,score_adj
12,26,9,20.219,15.365,95.0,-8.185,-13.7,18.2,1.476,1.402
14,26,9,20.142,15.915,95.0,-8.43,-13.7,18.5,1.47,1.397
14,24,9,19.666,15.365,95.0,-8.656,-13.7,18.9,1.436,1.364
10,30,7,19.423,15.22,95.0,-8.265,-13.7,18.8,1.418,1.347
12,30,9,18.488,13.945,95.0,-8.073,-13.7,17.6,1.35,1.282
14,30,9,18.404,13.945,95.0,-7.917,-13.7,17.4,1.343,1.276
10,18,5,22.83,21.945,80.0,-8.892,-15.5,19.95,1.473,1.178
12,30,7,18.97,15.22,85.0,-7.602,-13.7,16.8,1.385,1.177
12,26,7,18.798,15.22,85.0,-7.5,-13.7,16.85,1.372,1.166
10,20,5,22.558,22.25,80.0,-8.793,-15.5,18.95,1.455,1.164
12,24,9,18.729,15.22,85.0,-7.676,-13.7,16.75,1.367,1.162
14,30,7,18.714,15.915,85.0,-7.597,-13.7,16.65,1.366,1.161
10,24,9,18.497,15.22,85.0,-7.723,-13.7,16.8,1.35,1.148
8,30,9,17.423,13.03,90.0,-8.041,-13.7,17.55,1.272,1.145
10,26,9,18.428,12.77,85.0,-7.375,-13.7,16.1,1.345,1.143
14,26,5,19.036,15.015,95.0,-8.873,-15.85,21.05,1.201,1.141
8,30,5,19.66,12.11,80.0,-8.009,-13.8,18.85,1.425,1.14
12,26,5,18.984,15.455,95.0,-8.958,-15.85,20.75,1.198,1.138
10,30,5,18.178,15.06,85.0,-7.727,-13.7,18.35,1.327,1.128
10,24,5,21.613,17.415,80.0,-8.599,-15.5,18.3,1.394,1.116
12,18,5,21.48,18.87,80.0,-8.989,-15.5,19.95,1.386,1.109
8,30,7,16.736,12.84,90.0,-8.31,-13.7,19.1,1.222,1.099
8,20,5,21.097,21.025,80.0,-8.351,-15.5,18.35,1.361,1.089
8,26,5,20.609,16.1,80.0,-8.06,-15.5,17.45,1.33,1.064
14,18,5,18.815,16.71,90.0,-9.778,-15.94,24.2,1.18,1.062
12,30,5,18.5,15.22,90.0,-8.577,-15.85,18.7,1.167,1.051
10,30,9,16.776,11.82,85.0,-7.136,-13.7,15.75,1.225,1.041
12,20,7,18.23,15.96,90.0,-9.315,-15.85,19.3,1.15,1.035
14,20,5,17.565,16.295,85.0,-8.958,-14.44,22.3,1.216,1.034
8,26,9,16.236,12.73,85.0,-7.55,-13.7,16.95,1.185,1.007
8,24,9,17.27,14.27,90.0,-8.11,-15.5,17.35,1.114,1.003
14,24,5,18.678,15.145,95.0,-9.05,-18.09,21.65,1.033,0.981
12,20,9,17.268,15.33,75.0,-7.482,-13.7,15.7,1.26,0.945
10,20,9,18.152,15.96,80.0,-7.566,-15.5,16.05,1.171,0.937
10,26,7,17.056,15.06,75.0,-6.941,-13.7,15.75,1.245,0.934
10,18,9,17.958,15.725,80.0,-7.496,-15.5,16.4,1.159,0.927
10,24,7,17.927,16.71,80.0,-7.519,-15.5,16.35,1.157,0.925
10,18,7,17.6,16.565,80.0,-8.211,-15.5,17.7,1.136,0.908
10,20,7,17.478,15.88,80.0,-8.178,-15.5,17.25,1.128,0.902
10,26,5,16.356,14.825,75.0,-7.589,-13.7,17.3,1.194,0.895
12,18,7,17.87,16.875,90.0,-9.474,-18.09,20.3,0.988,0.889
12,24,7,17.607,15.22,80.0,-7.78,-15.85,16.45,1.111,0.889
12,20,5,17.168,16.565,80.0,-8.651,-15.5,19.4,1.108,0.886
12,24,5,16.007,15.06,75.0,-7.692,-13.7,17.7,1.168,0.876
8,24,5,16.922,16.565,80.0,-7.809,-15.5,17.8,1.092,0.873
8,18,5,19.235,20.33,70.0,-7.602,-15.5,16.45,1.241,0.869
8,26,7,16.477,12.71,80.0,-7.162,-15.5,16.0,1.063,0.85
8,20,9,16.423,12.98,80.0,-7.171,-15.49,16.1,1.06,0.848
14,20,7,17.229,15.145,85.0,-8.878,-18.09,19.1,0.952,0.81
14,26,7,17.012,15.22,75.0,-7.132,-15.86,15.6,1.073,0.804
14,18,7,16.969,15.855,85.0,-8.753,-18.09,21.15,0.938,0.797
14,24,7,16.616,15.015,75.0,-7.804,-15.86,16.15,1.048,0.786
14,20,9,16.588,15.22,75.0,-7.93,-15.86,16.05,1.046,0.784
14,30,5,16.487,15.015,75.0,-7.845,-15.86,16.35,1.04,0.78
8,20,7,16.06,12.93,75.0,-7.756,-15.49,17.0,1.037,0.778
12,18,9,16.215,14.31,75.0,-7.854,-15.85,16.55,1.023,0.767
8,24,7,15.717,12.535,75.0,-7.586,-15.5,16.55,1.014,0.761
14,18,9,16.287,14.38,75.0,-7.898,-18.09,17.25,0.9,0.675
8,18,7,15.176,8.55,65.0,-6.791,-15.49,15.0,0.98,0.637
8,18,9,14.467,9.385,65.0,-6.432,-15.49,14.1,0.934,0.607
